,TSNE1,TSNE2
0,-9.318483,-8.911827
1,-16.03104,3.7728345
2,-5.12413,-1.3249284
3,-13.492919,18.639502
4,-11.533337,19.812347
5,-10.528918,27.010141
6,-8.328731,7.0814333
7,26.361984,-3.427517
8,27.196558,-1.7823381
9,0.982024,-16.413328
10,-8.825859,13.135974
11,-9.265486,24.12947
12,-10.90183,15.057314
13,28.373974,-2.615572
14,-4.0187516,-15.358944
15,28.794847,-2.1203136
16,-10.909674,28.968489
17,27.640005,-3.2248328
18,24.881554,-3.1553133
19,-14.082256,-6.6527047
20,-8.042672,-12.717538
21,24.490904,-4.944575
22,-9.686667,13.188926
23,-13.421347,12.972788
24,-5.4849944,-11.413446
25,-5.776011,-15.269205
26,-12.297468,24.966217
27,24.896193,-4.9159675
28,-11.217683,22.105747
29,-12.491313,24.685236
30,-0.9841609,-16.794577
31,-10.359037,11.346507
32,-12.100438,18.796238
33,26.791569,-4.167049
34,-14.5884075,-6.099037
35,-13.79156,0.7783521
36,-11.80668,19.948282
37,-7.624966,-15.265594
38,-14.210405,6.7437916
39,26.143087,-3.7929738
40,24.009613,-3.7629569
41,-11.746517,14.355496
42,25.918896,-3.2651272
43,-5.6659985,-14.609982
44,28.16254,-2.1535223
45,25.159548,-2.8670807
46,24.425861,-3.366831
47,25.557148,-3.9175189
48,-9.939054,4.637282
49,-8.541742,12.161735
50,-6.1044917,-7.6977453
51,23.817156,-2.448793
52,-12.3947735,9.763813
53,-9.701394,0.17758185
54,-9.993243,-8.293392
55,24.244745,-2.2289264
56,26.81993,-3.472734
57,25.639526,-3.1863198
58,-5.5051446,-0.25339577
59,24.154005,-3.0795555
60,-5.3918824,-7.0892134
61,-4.6035056,-5.101133e-05
62,-5.242335,-1.6438514
63,-13.082535,8.116925
64,23.449451,-3.3106358
65,-12.403702,9.277119
66,-8.778891,5.410711
67,24.638832,-2.0557532
68,-2.2028236,-18.22959
69,-12.382301,21.846146
70,-12.90266,23.765774
71,-14.69675,13.500889
72,-4.542132,-14.094661
73,-5.3133893,-7.8497443
74,-13.585826,-6.399892
75,26.14385,-4.450972
76,24.512934,-2.663191
77,-3.4004717,-14.919915
78,25.172144,-3.3727012
79,27.139584,-3.1204846
80,26.544088,-4.225403
81,-8.605505,6.6738796
82,-10.946671,28.373272
83,24.266539,-5.5080385
84,-10.37413,27.070507
85,-9.779045,24.898424
86,24.819132,-5.867127
87,23.627317,-4.4378233
88,-5.291241,-8.19556
89,25.429996,-5.3386183
90,-12.173492,-5.413362
91,-9.505747,0.047005706
92,-8.24943,0.40736794
93,-4.791789,0.4160251
94,-5.277972,-3.2545555
95,24.29561,-4.3852983
96,-11.982999,7.3928614
97,-5.335248,-13.845973
98,-7.7625556,-14.515976
99,-5.739295,-0.56082165
100,25.706507,-3.7521117
101,-13.540153,-4.9601684
102,-8.541669,-11.447892
103,23.42448,-3.8942647
104,29.372992,-2.8605437
105,-8.923154,-12.039341
106,-16.000977,3.769635
107,-12.560248,19.508043
108,-8.650838,5.341545
109,24.80919,-3.891375
110,27.832079,-2.6843212
111,25.14558,-5.641197
112,25.25845,-4.070217
113,-9.162317,9.792755
114,27.611855,-3.9150426
115,23.470242,-2.8101676
116,-9.146245,-11.771114
117,26.266804,-4.4292564
118,-11.674206,11.531666
119,27.634865,-1.7360134
120,27.130922,-2.366589
